iter	Accuracy	MultiClass
0	0.7022070252	1.750594393
1	0.8963319863	1.430484422
2	0.9973577868	1.181806368
3	0.9973577868	1.011837888
4	0.9973577868	0.8812477961
5	0.9973577868	0.7742846483
6	0.9973577868	0.6857794011
7	0.9973577868	0.6120190038
8	0.9973577868	0.5463891159
9	0.9973577868	0.4910221554
10	0.9973577868	0.4422834987
11	0.9973577868	0.3991638362
12	0.9973577868	0.362617016
13	0.9973577868	0.3320737336
14	0.9973577868	0.3026198616
15	0.9973577868	0.2764295371
16	0.9973577868	0.252746863
17	0.9973577868	0.2311920001
18	0.9973577868	0.211917537
19	0.9973577868	0.1949494195
20	0.9973577868	0.1794091713
21	0.9973577868	0.166242229
22	0.9973577868	0.1540762603
23	0.9973577868	0.1428689559
24	0.9973577868	0.1339035364
25	0.9973577868	0.1247823504
26	0.9973577868	0.1162508146
27	0.9973577868	0.1091890809
28	0.9973577868	0.1035290535
29	0.9973577868	0.09689113561
30	0.9973577868	0.09198653304
31	0.9973577868	0.08692894874
32	0.9973577868	0.08264625251
33	0.9973577868	0.07896127364
34	0.9973577868	0.07874472507
35	0.9973577868	0.07410299679
36	0.9973577868	0.07034449607
37	0.9973577868	0.06765739434
38	0.9976686354	0.06478769452
39	0.9976686354	0.06463685817
40	0.9976686354	0.06146308611
41	0.9976686354	0.05999670715
42	0.9976686354	0.05983040684
43	0.9976686354	0.05860601185
44	0.997979484	0.0566002577
45	0.997979484	0.05543588092
46	0.997979484	0.05269764477
47	0.997979484	0.05258196587
48	0.997979484	0.05112746595
49	0.997979484	0.04923196831
50	0.997979484	0.04778380365
51	0.997979484	0.04768608938
52	0.997979484	0.04600614728
53	0.997979484	0.04435866197
54	0.997979484	0.04386209109
55	0.997979484	0.04221862241
56	0.997979484	0.0406912711
57	0.997979484	0.03989002636
58	0.997979484	0.03941636271
59	0.9982903326	0.03788087094
60	0.9982903326	0.03780652014
61	0.9982903326	0.03773733367
62	0.9982903326	0.03618995711
63	0.9982903326	0.03613797469
64	0.9982903326	0.03608454007
65	0.9982903326	0.03602051077
66	0.9982903326	0.03558008006
67	0.9982903326	0.03527032727
68	0.9982903326	0.03488439278
69	0.9984457569	0.03436018959
70	0.9984457569	0.03430860479
71	0.9984457569	0.03393918386
72	0.9984457569	0.0338915466
73	0.9984457569	0.03384570174
74	0.9984457569	0.03303655584
75	0.9986011812	0.0329940173
76	0.9987566055	0.0327031199
77	0.9989120298	0.03266383615
78	0.9989120298	0.03261466243
79	0.9989120298	0.03168563246
80	0.9989120298	0.03046793743
81	0.9989120298	0.03043549922
82	0.9989120298	0.03039857188
83	0.9989120298	0.03036569705
84	0.9989120298	0.03033409842
85	0.9989120298	0.03030401326
86	0.9989120298	0.0302775253
87	0.9989120298	0.02951648711
88	0.9989120298	0.02916342236
89	0.9989120298	0.02839643804
90	0.9989120298	0.02818639256
91	0.9989120298	0.02816239472
92	0.9989120298	0.02813808531
93	0.9989120298	0.02747102999
94	0.9989120298	0.02744733974
95	0.9989120298	0.02742212772
96	0.9989120298	0.02739590463
97	0.9989120298	0.02737482333
98	0.9989120298	0.02711077731
99	0.9989120298	0.02709295563
100	0.9989120298	0.02693508445
101	0.9989120298	0.02691719185
102	0.9989120298	0.02619677145
103	0.9990674541	0.02617696837
104	0.9990674541	0.02616027245
105	0.9990674541	0.02614321723
106	0.9990674541	0.02612495463
107	0.9990674541	0.02548112074
108	0.9990674541	0.02446175044
109	0.9990674541	0.02444695502
110	0.9990674541	0.02443272603
111	0.9990674541	0.0241682494
112	0.9990674541	0.02415284334
113	0.9990674541	0.02414002843
114	0.9990674541	0.02412589367
115	0.9990674541	0.02383477067
116	0.9990674541	0.02288191362
117	0.9990674541	0.02193818635
118	0.9990674541	0.02128955016
119	0.9990674541	0.02127667053
120	0.9990674541	0.02078581414
121	0.9990674541	0.02077191132
122	0.9990674541	0.02054930457
123	0.9990674541	0.02053558322
124	0.9990674541	0.02041422397
125	0.9990674541	0.0202155833
126	0.9990674541	0.02020531128
127	0.9990674541	0.01998460398
128	0.9990674541	0.01997499397
129	0.9990674541	0.01987711169
130	0.9990674541	0.01986811863
131	0.9990674541	0.01985844816
132	0.9990674541	0.0198429192
133	0.9990674541	0.0197491449
134	0.9990674541	0.01941847546
135	0.9990674541	0.01888616713
136	0.9990674541	0.01855216192
137	0.9990674541	0.0184642687
138	0.9990674541	0.01810358394
139	0.9990674541	0.01801840296
140	0.9990674541	0.01801044855
141	0.9990674541	0.01792581208
142	0.9990674541	0.01777507476
143	0.9990674541	0.01776623591
144	0.9990674541	0.01775826929
145	0.9990674541	0.01749617802
146	0.9990674541	0.01741238046
147	0.9990674541	0.01740160091
148	0.9990674541	0.01739294222
149	0.9990674541	0.01738699899
150	0.9990674541	0.01731768972
151	0.9990674541	0.01726052391
152	0.9990674541	0.01725485149
153	0.9990674541	0.01724940334
154	0.9990674541	0.01705650335
155	0.9990674541	0.01705164191
156	0.9990674541	0.01676075654
157	0.9990674541	0.01665568719
158	0.9990674541	0.01615484007
159	0.9990674541	0.01614635913
160	0.9990674541	0.01591502329
161	0.9990674541	0.01585830692
162	0.9990674541	0.01581237225
163	0.9990674541	0.01575791554
164	0.9990674541	0.01553542456
165	0.9990674541	0.01545900526
